index, timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
1, 2025/02/26 09:23:08.577, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:09.578, 85 %, 77 %, 17997 MiB
1, 2025/02/26 09:23:09.620, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:10.621, 86 %, 79 %, 17997 MiB
1, 2025/02/26 09:23:10.621, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:11.622, 89 %, 81 %, 17997 MiB
1, 2025/02/26 09:23:11.622, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:12.623, 90 %, 82 %, 17997 MiB
1, 2025/02/26 09:23:12.623, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:13.624, 87 %, 79 %, 17997 MiB
1, 2025/02/26 09:23:13.624, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:14.625, 75 %, 60 %, 23127 MiB
1, 2025/02/26 09:23:14.625, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:15.626, 88 %, 41 %, 19613 MiB
1, 2025/02/26 09:23:15.627, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:16.627, 96 %, 95 %, 19613 MiB
1, 2025/02/26 09:23:16.628, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:17.629, 96 %, 95 %, 19613 MiB
1, 2025/02/26 09:23:17.630, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:18.630, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:18.631, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:19.631, 96 %, 95 %, 19613 MiB
1, 2025/02/26 09:23:19.632, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:20.633, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:20.633, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:21.633, 96 %, 95 %, 19613 MiB
1, 2025/02/26 09:23:21.634, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:22.635, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:22.713, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:23.714, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:23.714, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:24.715, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:24.715, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:25.716, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:25.716, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:26.717, 97 %, 97 %, 19613 MiB
1, 2025/02/26 09:23:26.717, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:27.718, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:27.718, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:28.719, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:28.720, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:29.720, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:29.721, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:30.722, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:30.722, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:31.723, 97 %, 97 %, 19613 MiB
1, 2025/02/26 09:23:31.724, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:32.724, 95 %, 95 %, 19613 MiB
1, 2025/02/26 09:23:32.725, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:33.726, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:33.726, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:34.727, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:34.728, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:35.728, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:35.770, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:36.770, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:36.771, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:37.771, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:37.772, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:38.772, 97 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:38.773, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:39.773, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:39.774, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:40.775, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:40.775, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:41.776, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:41.776, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:42.777, 97 %, 97 %, 19613 MiB
1, 2025/02/26 09:23:42.778, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:43.779, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:43.779, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:44.780, 97 %, 97 %, 19613 MiB
1, 2025/02/26 09:23:44.781, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:45.781, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:45.782, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:46.783, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:46.783, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:47.784, 96 %, 96 %, 19613 MiB
1, 2025/02/26 09:23:47.784, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:48.785, 97 %, 97 %, 19613 MiB
1, 2025/02/26 09:23:48.852, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:49.853, 97 %, 97 %, 19613 MiB
1, 2025/02/26 09:23:49.853, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:50.854, 78 %, 74 %, 19617 MiB
1, 2025/02/26 09:23:50.855, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:51.855, 77 %, 72 %, 19617 MiB
1, 2025/02/26 09:23:51.860, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:52.861, 77 %, 72 %, 19617 MiB
1, 2025/02/26 09:23:52.861, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:53.862, 77 %, 72 %, 19617 MiB
1, 2025/02/26 09:23:53.862, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:54.863, 75 %, 70 %, 19617 MiB
1, 2025/02/26 09:23:54.863, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:55.864, 83 %, 77 %, 19617 MiB
1, 2025/02/26 09:23:55.865, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:56.865, 87 %, 81 %, 19617 MiB
1, 2025/02/26 09:23:56.866, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:57.866, 86 %, 79 %, 19617 MiB
1, 2025/02/26 09:23:57.867, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:58.868, 83 %, 77 %, 19617 MiB
1, 2025/02/26 09:23:58.868, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:23:59.869, 83 %, 76 %, 19617 MiB
1, 2025/02/26 09:23:59.869, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:00.870, 88 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:00.870, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:01.871, 78 %, 71 %, 19617 MiB
1, 2025/02/26 09:24:01.922, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:02.923, 80 %, 74 %, 19617 MiB
1, 2025/02/26 09:24:02.923, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:03.924, 89 %, 82 %, 19617 MiB
1, 2025/02/26 09:24:03.924, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:04.925, 90 %, 82 %, 19617 MiB
1, 2025/02/26 09:24:04.926, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:05.926, 88 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:05.927, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:06.928, 95 %, 87 %, 19617 MiB
