timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/02/25 12:39:40.871, 44 %, 44 %, 16013 MiB
2025/02/25 12:39:40.872, 45 %, 46 %, 15949 MiB
2025/02/25 12:39:41.873, 43 %, 43 %, 16013 MiB
2025/02/25 12:39:41.874, 44 %, 45 %, 15949 MiB
2025/02/25 12:39:42.874, 24 %, 22 %, 16013 MiB
2025/02/25 12:39:42.875, 24 %, 23 %, 15949 MiB
2025/02/25 12:39:43.875, 28 %, 25 %, 16013 MiB
2025/02/25 12:39:43.876, 27 %, 25 %, 15949 MiB
2025/02/25 12:39:44.877, 26 %, 23 %, 16013 MiB
2025/02/25 12:39:44.877, 26 %, 23 %, 15949 MiB
2025/02/25 12:39:45.878, 27 %, 24 %, 16013 MiB
2025/02/25 12:39:45.879, 28 %, 25 %, 15949 MiB
2025/02/25 12:39:46.879, 25 %, 22 %, 16013 MiB
2025/02/25 12:39:46.880, 25 %, 22 %, 15949 MiB
2025/02/25 12:39:47.881, 19 %, 17 %, 16013 MiB
2025/02/25 12:39:47.881, 18 %, 16 %, 15949 MiB
2025/02/25 12:39:48.882, 21 %, 18 %, 16013 MiB
2025/02/25 12:39:48.882, 19 %, 17 %, 15949 MiB
2025/02/25 12:39:49.883, 28 %, 25 %, 16013 MiB
2025/02/25 12:39:49.884, 28 %, 26 %, 15949 MiB
2025/02/25 12:39:50.885, 27 %, 24 %, 16013 MiB
2025/02/25 12:39:50.885, 28 %, 25 %, 15949 MiB
2025/02/25 12:39:51.886, 28 %, 25 %, 16013 MiB
2025/02/25 12:39:51.887, 29 %, 25 %, 15949 MiB
2025/02/25 12:39:52.888, 28 %, 25 %, 16013 MiB
2025/02/25 12:39:52.889, 28 %, 25 %, 15949 MiB
2025/02/25 12:39:53.890, 29 %, 26 %, 16013 MiB
2025/02/25 12:39:53.890, 29 %, 27 %, 15949 MiB
2025/02/25 12:39:54.891, 29 %, 26 %, 16013 MiB
2025/02/25 12:39:54.892, 31 %, 28 %, 15949 MiB
2025/02/25 12:39:55.892, 24 %, 22 %, 16013 MiB
2025/02/25 12:39:55.893, 26 %, 24 %, 15949 MiB
2025/02/25 12:39:56.894, 24 %, 22 %, 16013 MiB
2025/02/25 12:39:56.895, 25 %, 23 %, 15949 MiB
2025/02/25 12:39:57.896, 21 %, 19 %, 16013 MiB
2025/02/25 12:39:57.896, 23 %, 21 %, 15949 MiB
2025/02/25 12:39:58.897, 25 %, 23 %, 16013 MiB
2025/02/25 12:39:58.898, 24 %, 23 %, 15949 MiB
2025/02/25 12:39:59.898, 31 %, 29 %, 16013 MiB
2025/02/25 12:39:59.899, 32 %, 29 %, 15949 MiB
2025/02/25 12:40:00.900, 32 %, 29 %, 16013 MiB
2025/02/25 12:40:00.900, 32 %, 30 %, 15949 MiB
2025/02/25 12:40:01.901, 34 %, 32 %, 16013 MiB
2025/02/25 12:40:01.902, 35 %, 33 %, 15949 MiB
2025/02/25 12:40:02.903, 33 %, 30 %, 16013 MiB
2025/02/25 12:40:02.904, 33 %, 31 %, 15949 MiB
2025/02/25 12:40:03.905, 33 %, 31 %, 16013 MiB
2025/02/25 12:40:03.906, 33 %, 32 %, 15949 MiB
2025/02/25 12:40:04.906, 33 %, 32 %, 16013 MiB
2025/02/25 12:40:04.907, 34 %, 32 %, 15949 MiB
2025/02/25 12:40:05.908, 34 %, 32 %, 16013 MiB
2025/02/25 12:40:05.908, 35 %, 33 %, 15949 MiB
2025/02/25 12:40:06.909, 35 %, 33 %, 16013 MiB
2025/02/25 12:40:06.910, 35 %, 34 %, 15949 MiB
2025/02/25 12:40:07.910, 39 %, 37 %, 16013 MiB
2025/02/25 12:40:07.911, 38 %, 37 %, 15949 MiB
2025/02/25 12:40:08.911, 37 %, 36 %, 16013 MiB
2025/02/25 12:40:08.912, 39 %, 38 %, 15949 MiB
2025/02/25 12:40:09.913, 38 %, 37 %, 16013 MiB
2025/02/25 12:40:09.913, 38 %, 37 %, 15949 MiB
2025/02/25 12:40:10.914, 36 %, 35 %, 16013 MiB
2025/02/25 12:40:10.915, 37 %, 36 %, 15949 MiB
2025/02/25 12:40:11.915, 42 %, 41 %, 16013 MiB
2025/02/25 12:40:11.916, 44 %, 42 %, 15949 MiB
2025/02/25 12:40:12.917, 38 %, 37 %, 16013 MiB
2025/02/25 12:40:12.918, 39 %, 38 %, 15949 MiB
2025/02/25 12:40:13.919, 41 %, 40 %, 16013 MiB
2025/02/25 12:40:13.920, 41 %, 41 %, 15949 MiB
2025/02/25 12:40:14.920, 37 %, 36 %, 16013 MiB
2025/02/25 12:40:14.921, 37 %, 37 %, 15949 MiB
2025/02/25 12:40:15.922, 39 %, 38 %, 16013 MiB
2025/02/25 12:40:15.923, 39 %, 39 %, 15949 MiB
2025/02/25 12:40:16.923, 44 %, 44 %, 16013 MiB
2025/02/25 12:40:16.924, 45 %, 46 %, 15949 MiB
2025/02/25 12:40:17.925, 31 %, 31 %, 16013 MiB
2025/02/25 12:40:17.925, 32 %, 32 %, 15949 MiB
2025/02/25 12:40:18.926, 40 %, 40 %, 16013 MiB
2025/02/25 12:40:18.927, 40 %, 40 %, 15949 MiB
2025/02/25 12:40:19.927, 40 %, 40 %, 16013 MiB
2025/02/25 12:40:19.928, 41 %, 42 %, 15949 MiB
2025/02/25 12:40:20.928, 41 %, 41 %, 16013 MiB
2025/02/25 12:40:20.929, 42 %, 42 %, 15949 MiB
2025/02/25 12:40:21.930, 41 %, 41 %, 16013 MiB
2025/02/25 12:40:21.930, 41 %, 42 %, 15949 MiB
2025/02/25 12:40:22.931, 42 %, 42 %, 16013 MiB
2025/02/25 12:40:22.932, 44 %, 44 %, 15949 MiB
2025/02/25 12:40:23.933, 44 %, 45 %, 16013 MiB
2025/02/25 12:40:23.934, 46 %, 47 %, 15949 MiB
2025/02/25 12:40:24.934, 25 %, 23 %, 16013 MiB
2025/02/25 12:40:24.936, 26 %, 24 %, 15949 MiB
2025/02/25 12:40:25.936, 25 %, 23 %, 16013 MiB
2025/02/25 12:40:25.937, 26 %, 24 %, 15949 MiB
2025/02/25 12:40:26.938, 25 %, 22 %, 16013 MiB
2025/02/25 12:40:26.938, 26 %, 23 %, 15949 MiB
2025/02/25 12:40:27.939, 29 %, 26 %, 16013 MiB
2025/02/25 12:40:27.940, 29 %, 26 %, 15949 MiB
2025/02/25 12:40:28.940, 27 %, 24 %, 16013 MiB
2025/02/25 12:40:28.941, 27 %, 24 %, 15949 MiB
2025/02/25 12:40:29.942, 32 %, 28 %, 16013 MiB
2025/02/25 12:40:29.942, 31 %, 28 %, 15949 MiB
2025/02/25 12:40:30.943, 32 %, 28 %, 16013 MiB
2025/02/25 12:40:30.944, 32 %, 29 %, 15949 MiB
2025/02/25 12:40:31.944, 28 %, 24 %, 16013 MiB
2025/02/25 12:40:31.945, 28 %, 25 %, 15949 MiB
2025/02/25 12:40:32.946, 28 %, 25 %, 16013 MiB
2025/02/25 12:40:32.946, 28 %, 25 %, 15949 MiB
2025/02/25 12:40:33.947, 30 %, 27 %, 16013 MiB
2025/02/25 12:40:33.948, 30 %, 27 %, 15949 MiB
2025/02/25 12:40:34.949, 34 %, 30 %, 16013 MiB
2025/02/25 12:40:34.950, 34 %, 31 %, 15949 MiB
2025/02/25 12:40:35.951, 29 %, 26 %, 16013 MiB
2025/02/25 12:40:35.951, 29 %, 27 %, 15949 MiB
2025/02/25 12:40:36.952, 30 %, 27 %, 16013 MiB
2025/02/25 12:40:36.953, 30 %, 28 %, 15949 MiB
2025/02/25 12:40:37.954, 33 %, 30 %, 16013 MiB
2025/02/25 12:40:37.955, 33 %, 30 %, 15949 MiB
2025/02/25 12:40:38.955, 33 %, 30 %, 16013 MiB
2025/02/25 12:40:38.956, 32 %, 30 %, 15949 MiB
2025/02/25 12:40:39.957, 33 %, 30 %, 16013 MiB
2025/02/25 12:40:39.957, 32 %, 30 %, 15949 MiB
2025/02/25 12:40:40.958, 33 %, 31 %, 16013 MiB
2025/02/25 12:40:40.959, 33 %, 31 %, 15949 MiB
2025/02/25 12:40:41.959, 32 %, 30 %, 16013 MiB
2025/02/25 12:40:41.960, 35 %, 32 %, 15949 MiB
2025/02/25 12:40:42.960, 38 %, 35 %, 16013 MiB
2025/02/25 12:40:42.961, 39 %, 36 %, 15949 MiB
2025/02/25 12:40:43.962, 38 %, 35 %, 16013 MiB
2025/02/25 12:40:43.962, 37 %, 35 %, 15949 MiB
2025/02/25 12:40:44.963, 40 %, 38 %, 16013 MiB
2025/02/25 12:40:44.963, 40 %, 38 %, 15949 MiB
2025/02/25 12:40:45.964, 37 %, 35 %, 16013 MiB
2025/02/25 12:40:45.965, 36 %, 34 %, 15949 MiB
2025/02/25 12:40:46.966, 39 %, 37 %, 16013 MiB
2025/02/25 12:40:46.967, 39 %, 37 %, 15949 MiB
2025/02/25 12:40:47.968, 40 %, 39 %, 16013 MiB
2025/02/25 12:40:47.969, 41 %, 39 %, 15949 MiB
2025/02/25 12:40:48.970, 29 %, 28 %, 16013 MiB
2025/02/25 12:40:48.970, 30 %, 29 %, 15949 MiB
2025/02/25 12:40:49.971, 40 %, 38 %, 16013 MiB
2025/02/25 12:40:49.971, 39 %, 38 %, 15949 MiB
2025/02/25 12:40:50.972, 41 %, 40 %, 16013 MiB
2025/02/25 12:40:50.973, 41 %, 40 %, 15949 MiB
2025/02/25 12:40:51.973, 37 %, 36 %, 16013 MiB
2025/02/25 12:40:51.974, 38 %, 38 %, 15949 MiB
2025/02/25 12:40:52.975, 42 %, 42 %, 16013 MiB
2025/02/25 12:40:52.975, 41 %, 41 %, 15949 MiB
2025/02/25 12:40:53.976, 41 %, 40 %, 16013 MiB
2025/02/25 12:40:53.976, 41 %, 41 %, 15949 MiB
2025/02/25 12:40:54.977, 38 %, 38 %, 16013 MiB
2025/02/25 12:40:54.978, 38 %, 38 %, 15949 MiB
2025/02/25 12:40:55.978, 40 %, 40 %, 16013 MiB
2025/02/25 12:40:55.979, 41 %, 41 %, 15949 MiB
2025/02/25 12:40:56.980, 41 %, 41 %, 16013 MiB
2025/02/25 12:40:56.981, 42 %, 43 %, 15949 MiB
2025/02/25 12:40:57.990, 40 %, 40 %, 16013 MiB
2025/02/25 12:40:57.990, 40 %, 40 %, 15949 MiB
2025/02/25 12:40:58.991, 40 %, 40 %, 16013 MiB
2025/02/25 12:40:58.991, 42 %, 42 %, 15949 MiB
2025/02/25 12:40:59.992, 40 %, 40 %, 16013 MiB
